cost,emission,discomfort,dummy,electrolyzer elecGrid,heatpump elecGrid,rooftop pv elecGrid,heatpump_ac elecGrid,heatpump_ac heatGrid,heatpump heatGrid,fuel cell heatGrid,fuel cell storageGrid,electrolyzer storageGrid,battery storage invest[MW(h)],buffer tank invest[MW(h)],electrolyzer invest[MW(h)],fuel cell invest[MW(h)],h2 storage invest[MW(h)],heatpump invest[MW(h)],heatpump_ac invest[MW(h)],rooftop pv invest[MW(h)],elec import elecGrid,elec import fuelGrid,clo_lvl
0.005525,2.666269499,113333.33,0.0,,-13.1608302843398,12.8629866934743,-0.478965327353946,-0.957930654707893,17.0744043295224,,,,0.0094595114680023,0.0915588425247823,,,,0.0125064419830112,0.0032400013041062,0.0019554747704377,6.53497426114155,-6.53497426114155,light clothing
0.013896,1.119602832,72760.0,0.0,,-14.8706241022929,19.8473343155237,-1.55887068412208,-3.11774136824416,15.9982453296599,,,,0.0154702716670576,0.132192206982568,,,,0.0168421864060783,0.0085253334353081,0.0094573091200678,2.74412458712749,-2.74412458712749,light clothing
0.009236,1.781970918,106666.67,0.0,,-13.2817716898541,15.1497520214699,,,18.8343217111661,,,,0.0138029330979094,0.137797175571264,,,,0.0087028301446347,,0.0056301334528938,4.36757577971466,-4.36757577971466,light clothing
0.008446,2.369445092,46240.0,0.0,,-15.2046227977152,16.5697875523741,-1.11804336698784,-2.23608673397567,20.1100471385479,,,,0.013980625456652,0.145433182984901,,,,0.0117159740183466,0.0085266600777389,0.0044068031377161,5.8074634600938,-5.8074634600938,light clothing
0.013619,1.175602832,71200.0,0.0,,-14.8159338664486,19.2890793402909,-1.42690511423256,-2.85381022846512,15.8900391050075,,,,0.0142237516193061,0.131663241594169,,,,0.0165778562099866,0.0085253406105748,0.0092454000335129,2.88137948908271,-2.88137948908271,light clothing
0.006375,2.374602832,77440.0,0.0,,-14.1801301787338,15.4463803764923,-0.953046829057293,-1.90609365811459,17.9241389656278,,,,0.0142506363332462,0.123283575533213,,,,0.0146408673170516,0.0063682551517259,0.0025479022085885,5.82010497929698,-5.82010497929698,light clothing
0.009252,2.077679267,54040.0,0.0,,-15.04264693976,17.3404831475434,-1.23965136887427,-2.47930273774854,19.9989362755542,,,,0.0138506057453031,0.1420450490949739,,,,0.0110401140434165,0.008526403721063,0.0053019291610817,5.09235114457769,-5.09235114457769,light clothing
0.005684,2.666269499,100000.0,0.0,,-13.4183490167337,13.1625625396587,-0.525490083717742,-1.05098016743548,17.136478121453,,,,0.0094338646007355,0.0971847313266622,,,,0.0135676376208296,0.003925048063097,0.0020310763978723,6.53497426113994,-6.53497426113994,light clothing
0.012068,1.340961799,77440.0,0.0,,-14.3970922655294,18.0056801585653,-0.974254052961614,-1.94850810592323,17.1004233359047,,,,0.0134464246319334,0.142273368609871,,,,0.0123199152235181,0.0052124853907195,0.0080845305757193,3.28667107606328,-3.28667107606328,light clothing
0.00579,2.957936165,77440.0,0.0,,-13.9256544493825,12.9619977587107,-0.525828271430719,-1.05165654286144,18.6069898277281,,,,0.0094559238902498,0.093276834031667,,,,0.0129801695004891,0.0043843302348411,0.0019660502030555,7.24984354055581,-7.24984354055581,light clothing
